Name,Phone,Province,City
Rahim Abad Police Station,+92 946 9240389,KPK,Rahimabad
Gharbi Police Station,+92 91 9213297,KPK,Peshawar
Yarik Police Station,+92 966 9280325,KPK,Paharpur
Clifton Police Station,99250567-8,Sindh,South Karachi
Boat Basin Police Station,0213-5837199,Sindh,South Karachi
Gizri Police Station, 0213-5891709,Sindh,South Karachi
Darakshan Police Station,0213-5345100,Sindh,South Karachi
Defence Police Station,0213-5382280,Sindh,South Karachi
Saddar Police Station, 0213-2782587,Sindh,South Karachi
 Women Police Station, 0213-2782591,Sindh,South Karachi
Arty Maidan Police Station,99205684 99205662,Sindh,South Karachi
Civil Lines Police Station,3005100546,Sindh,South Karachi
Frere Police Station,99205665,Sindh,South Karachi
Arambagh Police Station,99211496,Sindh,South Karachi
 Preedy Police Station,99215437,Sindh,South Karachi
 Garden Police Station, 99215440,Sindh,South Karachi
Nabi Bux Police Station,99215441,Sindh,South Karachi
Risala Police Station,99215517,Sindh,South Karachi
City Court Police Station,99215686,Sindh,South Karachi
Eidghah Police Station,99215439,Sindh,South Karachi
Napier Police Station,2137707732,Sindh,South Karachi
 Mithadar Police Station,9921714142,Sindh,South Karachi
Kharadar Police Station,99217143,Sindh,South Karachi
Baghdadi Police Station,0213-2528566,Sindh,South Karachi
Kalri Police Station,0213-2524722,Sindh,South Karachi
Chakiwara Police Station,0213-2542223,Sindh,South Karachi
Kalakot Police Station,0213-2524970,Sindh,South Karachi
AZIZABAD Police Station,99246154/99246191,Sindh,East Karachi
JOHARABAD Police Station,99246145,Sindh,East Karachi
YOUSUF PLAZA Police Station,99246149,Sindh,East Karachi
GULBERG Police Station,99246165,Sindh,East Karachi
SAMANABAD Police Station,99246172,Sindh,East Karachi
F.B IND. AREA Police Station,,Sindh,East Karachi
GABOL TOWN Police Station,,Sindh,East Karachi
LIAQUATABAD Police Station,99231382,Sindh,East Karachi
SHARIFABAD Police Station,99246189,Sindh,East Karachi
GULBAHAR Police Station,0213-6622882,Sindh,East Karachi
SUPER MARKET Police Station,99239367,Sindh,East Karachi
NAZIMABAD Police Station,99260502,Sindh,East Karachi
RIZVIA SOCIETY Police Station,0213-6622323,Sindh,East Karachi
SIR SYED Police Station,0213-5407777,Sindh,East Karachi
KH.AJMER NAGRI Police Station,0213-6940813,Sindh,East Karachi
NEW KARACHI Police Station,0213-6902222/36902323,Sindh,East Karachi
N.KHI IND. AREA Police Station,0213-6972222,Sindh,East Karachi
BILAL COLONY Police Station,0213-6904000,Sindh,East Karachi
TAIMURIYA Police Station,0213-6629790,Sindh,East Karachi
SH. NOOR JAHAN Police Station,0213-6673336,Sindh,East Karachi
N. NAZIMABAD Police Station,0213-6632222,Sindh,East Karachi
HYDERI MARKET Police Station,0213-6628969,Sindh,East Karachi
PAPOSH NAGAR Police Station,0213-6620992/3771,Sindh,East Karachi
Korangi Police Station,021-35065555,Sindh,West Karachi
Landhi Police Station,021-35042322,Sindh,West Karachi
Shah Faisal Police Station,021-99248049,Sindh,West Karachi
Al Falah Police Station,021-99248009,Sindh,West Karachi
Korangi Ind Police Station,021-35053131,Sindh,West Karachi
Zaman Town Police Station,021-35091381,Sindh,West Karachi
Awami Colony Police Station,021-35070802,Sindh,West Karachi
Sharafi Goth Police Station,021-3501,Sindh,West Karachi
SSP Investigation Police Station,051-9292626,Punjab,Rawalpindi
SSP Operations Police Station,051-9292635,Punjab,Rawalpindi
SP Security Police Station,051-9292633,Punjab,Rawalpindi
SP Potohar Police Station,051-9270621,Punjab,Rawalpindi
SDPO Police Station,051-9270268,Punjab,Rawalpindi
Cantt Police Station,051-9270652,Punjab,Rawalpindi
R.A Bazar Police Station,051-9270653,Punjab,Rawalpindi
Westridge Police Station,051-9334349,Punjab,Rawalpindi
Naseerabad Police Station,051-9334114,Punjab,Rawalpindi
Race Course Police Station,051-9334088,Punjab,Rawalpindi
SP Headquarter Police Station,051-9292627,Punjab,Rawalpindi
SP CIA Police Station, 051-9334681,Punjab,Rawalpindi
SP Special Branch Police Station, 051-9292736,Punjab,Rawalpindi
SP Sadar Police Station,051-9292622,Punjab,Rawalpindi
SDPO Police Station,051-9292600,Punjab,Rawalpindi
